Tries,outcome
1,High card
2,Three of a kind
3,One pair
4,Three of a kind
5,Three of a kind
6,Two pair
7,One pair
8,Two pair
9,One pair
10,Two pair
11,Two pair
12,One pair
13,Two pair
14,One pair
15,One pair
16,Three of a kind
17,Two pair
18,One pair
19,One pair
20,One pair
21,One pair
22,One pair
23,One pair
24,One pair
25,One pair
26,Three of a kind
27,One pair
28,Two pair
29,Two pair
30,One pair
31,High card
32,One pair
33,One pair
34,Two pair
35,High card
36,Straight
37,Flush
38,One pair
39,Two pair
40,One pair
41,One pair
42,One pair
43,Two pair
44,One pair
45,One pair
46,One pair
47,One pair
48,Two pair
49,One pair
50,One pair
51,High card
52,High card
53,Full house
54,Straight
55,One pair
56,Two pair
57,High card
58,Two pair
59,One pair
60,Three of a kind
61,One pair
62,Two pair
63,One pair
64,High card
65,Three of a kind
66,One pair
67,Two pair
68,Two pair
69,Flush
70,One pair
71,High card
72,Two pair
73,Flush
74,One pair
75,High card
76,One pair
77,One pair
78,One pair
79,One pair
80,Two pair
81,One pair
82,One pair
83,One pair
84,One pair
85,Straight
86,One pair
87,High card
88,High card
89,One pair
90,Straight
91,One pair
92,Two pair
93,Two pair
94,One pair
95,Two pair
96,Three of a kind
97,Full house
98,Two pair
99,Straight
100,One pair
101,One pair
102,High card
103,One pair
104,Two pair
105,One pair
106,Two pair
107,Two pair
108,One pair
109,One pair
110,Two pair
111,One pair
112,Full house
113,Straight
114,One pair
115,Two pair
116,High card
117,One pair
118,High card
119,One pair
120,Two pair
121,One pair
122,Two pair
123,High card
124,One pair
125,Two pair
126,One pair
127,One pair
128,High card
129,One pair
130,Two pair
131,One pair
132,One pair
133,Straight
134,Two pair
135,One pair
136,Two pair
137,One pair
138,Two pair
139,Three of a kind
140,One pair
141,One pair
142,One pair
143,One pair
144,Three of a kind
145,One pair
146,One pair
147,Two pair
148,High card
149,One pair
150,Straight
151,Three of a kind
152,High card
153,One pair
154,One pair
155,One pair
156,One pair
157,One pair
158,Full house
159,High card
160,Two pair
161,Two pair
162,One pair
163,Three of a kind
164,Two pair
165,One pair
166,Straight
167,Two pair
168,High card
169,One pair
170,One pair
171,Straight
172,One pair
173,Two pair
174,One pair
175,High card
176,Two pair
177,One pair
178,Two pair
179,Straight
180,High card
181,One pair
182,Straight
183,One pair
184,One pair
185,High card
186,One pair
187,One pair
188,One pair
189,High card
190,Two pair
191,One pair
192,One pair
193,Full house
194,Two pair
195,Two pair
196,One pair
197,High card
198,Three of a kind
199,One pair
200,Straight
201,One pair
202,Two pair
203,Two pair
204,One pair
205,One pair
206,Two pair
207,One pair
208,Two pair
209,Two pair
210,High card
211,One pair
212,One pair
213,Three of a kind
214,One pair
215,Three of a kind
216,One pair
217,One pair
218,Flush
219,Straight
220,One pair
221,Two pair
222,Full house
223,Flush
224,Two pair
225,Flush
226,One pair
227,One pair
228,Two pair
229,One pair
230,Flush
231,One pair
232,High card
233,One pair
234,Straight
235,One pair
236,Two pair
237,Two pair
238,One pair
239,One pair
240,Two pair
241,One pair
242,Straight
243,High card
244,High card
245,Two pair
246,Full house
247,One pair
248,High card
249,High card
250,Two pair
251,Two pair
252,One pair
253,High card
254,One pair
255,High card
256,One pair
257,Three of a kind
258,Flush
259,One pair
260,High card
261,Flush
262,One pair
263,One pair
264,One pair
265,One pair
266,Two pair
267,Three of a kind
268,Two pair
269,Flush
270,Straight
271,One pair
272,One pair
273,One pair
274,One pair
275,One pair
276,Two pair
277,Flush
278,One pair
279,One pair
280,One pair
281,One pair
282,High card
283,High card
284,One pair
285,High card
286,Three of a kind
287,Flush
288,One pair
289,One pair
290,One pair
291,High card
292,One pair
293,One pair
294,One pair
295,Two pair
296,Two pair
297,High card
298,Two pair
299,Full house
300,Straight
301,Straight
302,Two pair
303,Two pair
304,One pair
305,One pair
306,High card
307,Two pair
308,One pair
309,One pair
310,High card
311,One pair
312,One pair
313,One pair
314,Flush
315,One pair
316,Two pair
317,One pair
318,Two pair
319,Flush
320,Four of a kind
321,One pair
322,Two pair
323,One pair
324,High card
325,One pair
326,One pair
327,High card
328,Two pair
329,Two pair
330,Straight
331,Straight
332,One pair
333,Two pair
334,One pair
335,Two pair
336,One pair
337,Two pair
338,One pair
339,Two pair
340,Three of a kind
341,One pair
342,One pair
343,One pair
344,One pair
345,One pair
346,One pair
347,Full house
348,High card
349,One pair
350,Two pair
351,One pair
352,One pair
353,Two pair
354,One pair
355,Two pair
356,One pair
357,High card
358,Two pair
359,One pair
360,One pair
361,High card
362,Two pair
363,One pair
364,One pair
365,Two pair
366,High card
367,Three of a kind
368,Two pair
369,One pair
370,One pair
371,One pair
372,High card
373,One pair
374,One pair
375,One pair
376,One pair
377,Two pair
378,High card
379,One pair
380,One pair
381,Three of a kind
382,High card
383,Two pair
384,One pair
385,One pair
386,One pair
387,One pair
388,High card
389,Two pair
390,Two pair
391,One pair
392,One pair
393,Straight flush
394,Two pair
395,Two pair
396,One pair
397,Straight
398,One pair
399,Straight
400,One pair
401,Two pair
402,High card
403,One pair
404,One pair
405,Three of a kind
406,One pair
407,Two pair
408,One pair
409,One pair
410,High card
411,Two pair
412,One pair
413,One pair
414,One pair
415,High card
416,Two pair
417,High card
418,One pair
419,Flush
420,One pair
421,One pair
422,One pair
423,One pair
424,One pair
425,One pair
426,Two pair
427,One pair
428,Two pair
429,High card
430,Two pair
431,Flush
432,Two pair
433,Two pair
434,One pair
435,Full house
436,One pair
437,Two pair
438,Two pair
439,Straight
440,One pair
441,One pair
442,Two pair
443,One pair
444,High card
445,One pair
446,Two pair
447,Three of a kind
448,Two pair
449,High card
450,One pair
451,High card
452,Three of a kind
453,One pair
454,Straight
455,One pair
456,One pair
457,One pair
458,High card
459,High card
460,Two pair
461,High card
462,One pair
463,One pair
464,Two pair
465,High card
466,Three of a kind
467,High card
468,One pair
469,Two pair
470,High card
471,One pair
472,Flush
473,High card
474,One pair
475,High card
476,One pair
477,Two pair
478,Three of a kind
479,One pair
480,Straight
481,One pair
482,Straight
483,One pair
484,Two pair
485,Two pair
486,Royal flush
487,One pair
488,One pair
489,Two pair
490,Two pair
491,One pair
492,Straight
493,Two pair
494,Flush
495,One pair
496,High card
497,High card
498,One pair
499,Straight
500,One pair
501,Two pair
502,Three of a kind
503,One pair
504,Two pair
505,Straight
506,One pair
507,Two pair
508,High card
509,One pair
510,Two pair
511,High card
512,Straight
513,Two pair
514,Full house
515,High card
516,One pair
517,One pair
518,Two pair
519,Two pair
520,One pair
521,One pair
522,Two pair
523,Two pair
524,Two pair
525,Two pair
526,Straight
527,One pair
528,High card
529,Three of a kind
530,One pair
531,High card
532,One pair
533,Straight
534,One pair
535,Three of a kind
536,High card
537,One pair
538,One pair
539,Two pair
540,One pair
541,One pair
542,Two pair
543,Two pair
544,Two pair
545,High card
546,High card
547,One pair
548,Flush
549,One pair
550,One pair
551,One pair
552,Three of a kind
553,One pair
554,Flush
555,One pair
556,Two pair
557,High card
558,One pair
559,Full house
560,High card
561,One pair
562,Two pair
563,Two pair
564,One pair
565,Three of a kind
566,One pair
567,One pair
568,Full house
569,High card
570,One pair
571,One pair
572,One pair
573,One pair
574,Two pair
575,Two pair
576,One pair
577,Two pair
578,High card
579,Two pair
580,One pair
581,One pair
582,High card
583,One pair
584,One pair
585,Two pair
586,One pair
587,One pair
588,Full house
589,One pair
590,One pair
591,One pair
592,Two pair
593,Straight
594,High card
595,One pair
596,One pair
597,One pair
598,One pair
599,Two pair
600,One pair
601,Two pair
602,One pair
603,One pair
604,One pair
605,One pair
606,One pair
607,High card
608,High card
609,One pair
610,One pair
611,High card
612,Two pair
613,One pair
614,One pair
615,Two pair
616,One pair
617,Flush
618,High card
619,One pair
620,One pair
621,Flush
622,One pair
623,One pair
624,One pair
625,Two pair
626,Full house
627,One pair
628,Two pair
629,One pair
630,One pair
631,One pair
632,High card
633,High card
634,High card
635,One pair
636,Full house
637,One pair
638,One pair
639,High card
640,Two pair
641,Two pair
642,Full house
643,One pair
644,One pair
645,One pair
646,One pair
647,Two pair
648,High card
649,High card
650,Two pair
651,One pair
652,Three of a kind
653,Three of a kind
654,High card
655,High card
656,Two pair
657,Two pair
658,One pair
659,Two pair
660,High card
661,One pair
662,High card
663,High card
664,One pair
665,One pair
666,Three of a kind
667,High card
668,High card
669,Two pair
670,One pair
671,One pair
672,One pair
673,High card
674,One pair
675,One pair
676,High card
677,One pair
678,One pair
679,One pair
680,One pair
681,High card
682,Two pair
683,One pair
684,High card
685,One pair
686,Straight
687,One pair
688,One pair
689,One pair
690,One pair
691,Two pair
692,Two pair
693,Two pair
694,One pair
695,Two pair
696,One pair
697,High card
698,One pair
699,Flush
700,Two pair
701,One pair
702,One pair
703,Two pair
704,Straight
705,Three of a kind
706,One pair
707,One pair
708,One pair
709,Straight
710,One pair
711,One pair
712,Two pair
713,One pair
714,One pair
715,One pair
716,One pair
717,Straight
718,Three of a kind
719,One pair
720,High card
721,Two pair
722,High card
723,Two pair
724,Two pair
725,One pair
726,One pair
727,High card
728,High card
729,One pair
730,Two pair
731,Three of a kind
732,One pair
733,Two pair
734,Two pair
735,One pair
736,High card
737,Full house
738,Three of a kind
739,One pair
740,One pair
741,High card
742,Flush
743,One pair
744,Two pair
745,One pair
746,One pair
747,One pair
748,One pair
749,One pair
750,High card
751,Three of a kind
752,One pair
753,High card
754,One pair
755,One pair
756,One pair
757,One pair
758,One pair
759,Flush
760,One pair
761,One pair
762,One pair
763,Two pair
764,Two pair
765,One pair
766,One pair
767,One pair
768,Two pair
769,Straight
770,High card
771,High card
772,One pair
773,High card
774,One pair
775,One pair
776,One pair
777,High card
778,One pair
779,High card
780,One pair
781,Two pair
782,Two pair
783,One pair
784,Two pair
785,High card
786,One pair
787,Two pair
788,Two pair
789,Two pair
790,One pair
791,Two pair
792,High card
793,One pair
794,One pair
795,Two pair
796,One pair
797,One pair
798,Straight
799,Two pair
800,Two pair
801,One pair
802,Two pair
803,One pair
804,Flush
805,One pair
806,Full house
807,One pair
808,One pair
809,One pair
810,One pair
811,One pair
812,One pair
813,One pair
814,One pair
815,One pair
816,One pair
817,Two pair
818,High card
819,One pair
820,One pair
821,One pair
822,Two pair
823,One pair
824,One pair
825,One pair
826,High card
827,One pair
828,One pair
829,High card
830,High card
831,One pair
832,Two pair
833,Two pair
834,High card
835,High card
836,High card
837,Two pair
838,High card
839,Two pair
840,One pair
841,One pair
842,Straight
843,Two pair
844,One pair
845,High card
846,Two pair
847,Two pair
848,Straight
849,Two pair
850,High card
851,Two pair
852,Two pair
853,One pair
854,Two pair
855,One pair
856,Two pair
857,High card
858,One pair
859,High card
860,One pair
861,One pair
862,Two pair
863,Two pair
864,Two pair
865,Straight
866,Three of a kind
867,One pair
868,Two pair
869,One pair
870,One pair
871,High card
872,One pair
873,High card
874,Three of a kind
875,Two pair
876,High card
877,One pair
878,Two pair
879,One pair
880,Two pair
881,One pair
882,One pair
883,Two pair
884,One pair
885,Two pair
886,Straight flush
887,Two pair
888,Two pair
889,One pair
890,One pair
891,One pair
892,Four of a kind
893,One pair
894,One pair
895,One pair
896,Two pair
897,One pair
898,One pair
899,One pair
900,Two pair
901,One pair
902,One pair
903,High card
904,Straight
905,High card
906,High card
907,Two pair
908,One pair
909,Full house
910,Two pair
911,Two pair
912,One pair
913,Full house
914,One pair
915,Two pair
916,One pair
917,Straight
918,Two pair
919,Two pair
920,High card
921,High card
922,High card
923,Full house
924,One pair
925,Two pair
926,Two pair
927,Three of a kind
928,Two pair
929,Two pair
930,One pair
931,One pair
932,One pair
933,One pair
934,Flush
935,One pair
936,Two pair
937,One pair
938,One pair
939,Two pair
940,Two pair
941,One pair
942,Two pair
943,One pair
944,One pair
945,Two pair
946,High card
947,One pair
948,One pair
949,Two pair
950,High card
951,Two pair
952,One pair
953,One pair
954,One pair
955,One pair
956,One pair
957,Two pair
958,One pair
959,One pair
960,Two pair
961,One pair
962,Two pair
963,One pair
964,Full house
965,One pair
966,Three of a kind
967,Two pair
968,One pair
969,One pair
970,High card
971,Two pair
972,Two pair
973,One pair
974,One pair
975,Two pair
976,Two pair
977,Straight
978,High card
979,One pair
980,Straight
981,Flush
982,Two pair
983,Two pair
984,One pair
985,One pair
986,Straight
987,One pair
988,High card
989,One pair
990,One pair
991,Full house
992,One pair
993,High card
994,High card
995,Three of a kind
996,One pair
997,High card
998,Straight
999,One pair
1000,One pair
1001,One pair
1002,One pair
1003,One pair
